epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.614,2.6985,3.61818,2.41187,0.00047,0.10294,0.00026,7e-05,4.47099,186.353,28.7654,0.000662162,0.000662162,0.000662162
2,201.98,2.77669,3.38796,2.4295,0.00958,0.05392,0.00316,0.00088,3.16191,73.1828,3.85246,0.00132006,0.00132006,0.00132006
3,301.015,2.73062,3.40027,2.43878,0.02513,0.07598,0.00914,0.00227,2.81265,6.7949,2.879,0.00196915,0.00196915,0.00196915
4,398.526,2.67392,3.3189,2.33879,0.08751,0.09069,0.03168,0.01051,2.59014,4.67295,2.65111,0.0019604,0.0019604,0.0019604
5,497.372,2.62253,3.18106,2.32992,0.10286,0.10172,0.04614,0.01474,2.55831,4.51691,2.60608,0.0019472,0.0019472,0.0019472
6,594.537,2.54516,3.10239,2.30663,0.12925,0.15441,0.05296,0.016,2.48682,3.37573,2.48843,0.001934,0.001934,0.001934
7,690.264,2.51049,2.93121,2.22083,0.13762,0.09153,0.04111,0.01228,2.56195,3.36539,2.49943,0.0019208,0.0019208,0.0019208
8,787.008,2.48749,2.90562,2.18332,0.19908,0.15809,0.0974,0.02945,2.44272,3.53701,2.39498,0.0019076,0.0019076,0.0019076
9,886.414,2.43697,2.81489,2.17554,0.16992,0.17647,0.10488,0.0361,2.38478,2.90046,2.37614,0.0018944,0.0018944,0.0018944
10,988.891,2.39664,2.80199,2.15452,0.21049,0.20711,0.11718,0.03766,2.28529,3.01066,2.29176,0.0018812,0.0018812,0.0018812
11,1088.13,2.36152,2.70808,2.14386,0.28247,0.13848,0.09835,0.03272,2.49823,3.09427,2.40527,0.001868,0.001868,0.001868
12,1182.92,2.36128,2.67459,2.11582,0.16028,0.23529,0.10407,0.03526,2.27721,3.17423,2.27758,0.0018548,0.0018548,0.0018548
13,1277.99,2.29474,2.62972,2.07287,0.2352,0.21256,0.138,0.04872,2.28989,2.74138,2.23553,0.0018416,0.0018416,0.0018416
14,1377.64,2.29919,2.60092,2.07439,0.24912,0.22426,0.15638,0.05427,2.23627,2.71375,2.19551,0.0018284,0.0018284,0.0018284
15,1477.84,2.29868,2.56916,2.06137,0.27781,0.22549,0.18094,0.06627,2.22647,2.61244,2.20935,0.0018152,0.0018152,0.0018152
16,1573.94,2.27477,2.52907,2.03616,0.36719,0.31373,0.26412,0.09631,2.14965,2.40798,2.13198,0.001802,0.001802,0.001802
17,1670.29,2.23759,2.50172,2.00164,0.33852,0.3174,0.24833,0.08834,2.18933,2.44737,2.24323,0.0017888,0.0017888,0.0017888
18,1764.73,2.25958,2.50593,2.04146,0.30709,0.3125,0.22082,0.0781,2.17514,2.37482,2.1704,0.0017756,0.0017756,0.0017756
19,1860.38,2.23265,2.4386,2.0307,0.31667,0.31005,0.22337,0.07826,2.186,2.45006,2.17384,0.0017624,0.0017624,0.0017624
20,1954.86,2.22409,2.38786,2.02342,0.33772,0.32843,0.23875,0.08438,2.16419,2.46235,2.17637,0.0017492,0.0017492,0.0017492
21,2049.63,2.21634,2.41107,2.01195,0.30558,0.29067,0.20859,0.07403,2.17981,2.50106,2.16175,0.001736,0.001736,0.001736
22,2144.12,2.20613,2.36921,2.00513,0.35704,0.29779,0.24445,0.09093,2.17298,2.42925,2.22644,0.0017228,0.0017228,0.0017228
23,2238.06,2.19615,2.36294,2.0057,0.37786,0.30147,0.24454,0.08538,2.16268,2.38718,2.14865,0.0017096,0.0017096,0.0017096
24,2333.79,2.16789,2.34956,2.0012,0.33125,0.32721,0.25627,0.08913,2.184,2.35973,2.1839,0.0016964,0.0016964,0.0016964
25,2428.51,2.14707,2.28993,1.96159,0.40108,0.29289,0.27844,0.09952,2.19364,2.39053,2.20163,0.0016832,0.0016832,0.0016832
26,2528.74,2.18292,2.29204,1.96547,0.42766,0.3076,0.29667,0.11044,2.14879,2.28587,2.16962,0.00167,0.00167,0.00167
27,2623.85,2.14162,2.23044,1.93675,0.35747,0.29167,0.25084,0.08746,2.21855,2.46678,2.18076,0.0016568,0.0016568,0.0016568
28,2718.98,2.13509,2.23604,1.94726,0.43076,0.39461,0.35184,0.13482,2.09584,2.15406,2.13132,0.0016436,0.0016436,0.0016436
29,2819.17,2.11828,2.20772,1.94001,0.38194,0.33211,0.28184,0.10258,2.16947,2.31519,2.1593,0.0016304,0.0016304,0.0016304
30,2914.22,2.14221,2.22326,1.93979,0.39244,0.37132,0.32055,0.11987,2.09538,2.25576,2.14951,0.0016172,0.0016172,0.0016172
31,3009.38,2.09619,2.16582,1.90878,0.43909,0.36887,0.33097,0.12208,2.12995,2.19885,2.08687,0.001604,0.001604,0.001604
32,3103.94,2.1116,2.19081,1.91727,0.47377,0.3799,0.36294,0.13789,2.12345,2.16916,2.12036,0.0015908,0.0015908,0.0015908
33,3203,2.11185,2.18043,1.93505,0.4572,0.36029,0.3519,0.13609,2.08924,2.18207,2.11749,0.0015776,0.0015776,0.0015776
34,3298.44,2.10192,2.15953,1.91358,0.49429,0.40126,0.40768,0.15284,2.07955,2.09806,2.11445,0.0015644,0.0015644,0.0015644
35,3398.45,2.06319,2.10278,1.90119,0.48708,0.42034,0.39083,0.14282,2.08897,2.10149,2.09478,0.0015512,0.0015512,0.0015512
36,3492.67,2.06081,2.06387,1.87884,0.46279,0.43015,0.39528,0.15403,2.04958,2.04068,2.05228,0.001538,0.001538,0.001538
37,3587.84,2.08605,2.09902,1.89711,0.53534,0.41299,0.40958,0.15467,2.04086,2.05257,2.07618,0.0015248,0.0015248,0.0015248
38,3688.31,2.06147,2.04042,1.88267,0.47282,0.4277,0.41186,0.15944,2.06499,1.97562,2.10023,0.0015116,0.0015116,0.0015116
39,3789.91,2.06071,2.07366,1.88196,0.44209,0.40494,0.36723,0.14596,2.10389,2.09281,2.07581,0.0014984,0.0014984,0.0014984
40,3883.8,2.03923,2.03074,1.87294,0.59209,0.43226,0.46647,0.17948,2.01849,1.96399,2.05774,0.0014852,0.0014852,0.0014852
41,3982.94,2.04604,2.0143,1.8869,0.54881,0.35417,0.39845,0.14835,2.13929,2.05891,2.12368,0.001472,0.001472,0.001472
42,4078.07,2.01498,1.98219,1.83952,0.50122,0.33743,0.3626,0.14202,2.13507,2.22172,2.10447,0.0014588,0.0014588,0.0014588
43,4172.68,2.02367,1.96803,1.85655,0.55086,0.44608,0.44958,0.17152,2.04024,2.00887,2.05296,0.0014456,0.0014456,0.0014456
44,4267.7,2.0126,1.95402,1.84471,0.54183,0.41912,0.44167,0.17126,2.08612,1.98352,2.07739,0.0014324,0.0014324,0.0014324
45,4362.56,2.00987,1.97408,1.85625,0.50533,0.43316,0.42479,0.16569,2.0255,2.03911,2.03012,0.0014192,0.0014192,0.0014192
46,4456.34,1.99762,1.90517,1.8435,0.6242,0.42525,0.4822,0.1904,2.07157,1.91942,2.12289,0.001406,0.001406,0.001406
47,4551.65,1.99382,1.95533,1.86147,0.48447,0.38848,0.38668,0.15433,2.1075,2.03674,2.12567,0.0013928,0.0013928,0.0013928
48,4646.01,1.9827,1.88153,1.83312,0.60351,0.45833,0.49587,0.19992,2.0407,1.87551,2.07297,0.0013796,0.0013796,0.0013796
49,4745.61,1.98884,1.91764,1.82419,0.56411,0.4902,0.48812,0.19503,2.00239,1.8831,2.031,0.0013664,0.0013664,0.0013664
50,4841.18,1.96351,1.88673,1.81783,0.59961,0.47794,0.51729,0.20649,2.01885,1.80539,2.04026,0.0013532,0.0013532,0.0013532
51,4938.2,1.97229,1.87462,1.82422,0.55567,0.42892,0.46255,0.17627,2.10118,1.93118,2.11156,0.00134,0.00134,0.00134
52,5032.2,1.98019,1.86823,1.83232,0.59805,0.4424,0.49547,0.19695,2.05337,1.89589,2.06561,0.0013268,0.0013268,0.0013268
53,5127.2,1.97466,1.85664,1.8201,0.64099,0.46324,0.51818,0.21398,2.00954,1.78442,2.03485,0.0013136,0.0013136,0.0013136
54,5227.55,1.9651,1.84865,1.81127,0.56764,0.49265,0.5047,0.20861,2.00461,1.78871,2.03505,0.0013004,0.0013004,0.0013004
55,5321.39,1.95083,1.83358,1.79856,0.61975,0.50245,0.53204,0.21673,2.00871,1.74724,2.02793,0.0012872,0.0012872,0.0012872
56,5421.4,1.94821,1.81735,1.79357,0.59347,0.44853,0.49354,0.18708,2.10305,1.85158,2.09944,0.001274,0.001274,0.001274
57,5516.76,1.93233,1.77537,1.79872,0.58055,0.4424,0.47078,0.18453,2.08745,1.93011,2.10062,0.0012608,0.0012608,0.0012608
58,5611.41,1.93396,1.76845,1.77613,0.63,0.50914,0.5416,0.2133,2.05967,1.73217,2.08034,0.0012476,0.0012476,0.0012476
59,5706.38,1.94865,1.77388,1.79588,0.64978,0.49795,0.52869,0.20344,2.01957,1.80966,2.05844,0.0012344,0.0012344,0.0012344
60,5801.41,1.9313,1.77151,1.78004,0.57497,0.53186,0.53418,0.22202,2.00693,1.75959,2.02768,0.0012212,0.0012212,0.0012212
61,5900.79,1.90079,1.72649,1.75828,0.64912,0.50557,0.55564,0.2291,2.01069,1.73233,2.02701,0.001208,0.001208,0.001208
62,5996.66,1.92705,1.76218,1.79516,0.65716,0.5098,0.56234,0.22595,2.02355,1.7092,2.05625,0.0011948,0.0011948,0.0011948
63,6092.07,1.9072,1.70565,1.76704,0.64231,0.52328,0.5654,0.23237,2.03308,1.69313,2.05828,0.0011816,0.0011816,0.0011816
64,6191.63,1.87685,1.67212,1.75286,0.61876,0.52574,0.55029,0.2231,2.04042,1.72189,2.07339,0.0011684,0.0011684,0.0011684
65,6288.1,1.89488,1.72224,1.76109,0.66886,0.5,0.54636,0.22647,1.99668,1.72153,2.02546,0.0011552,0.0011552,0.0011552
66,6382.35,1.85643,1.6398,1.7468,0.65185,0.51225,0.56188,0.22814,2.02586,1.6593,2.05879,0.001142,0.001142,0.001142
67,6477.46,1.87137,1.67832,1.75538,0.6239,0.50613,0.5436,0.22796,2.01545,1.70641,2.07119,0.0011288,0.0011288,0.0011288
68,6573.14,1.85965,1.65865,1.74067,0.61022,0.5625,0.56909,0.22953,2.04274,1.67299,2.07176,0.0011156,0.0011156,0.0011156
69,6667.58,1.87642,1.66164,1.74547,0.67443,0.53309,0.562,0.22181,2.08073,1.73868,2.10995,0.0011024,0.0011024,0.0011024
