epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4070.12,1.99331,1.97221,1.85409,0.47856,0.39338,0.3993,0.16411,2.09734,2.18221,2.14363,0.0011882,0.0011882,0.0011882
43,4163.64,1.99861,1.94128,1.87047,0.55581,0.45098,0.4689,0.1858,2.02809,1.93953,2.12883,0.0011684,0.0011684,0.0011684
44,4263.7,1.99904,1.93675,1.87488,0.59258,0.43382,0.46107,0.18606,2.04936,1.96888,2.1134,0.0011486,0.0011486,0.0011486
45,4358.52,1.99548,1.95665,1.87873,0.53619,0.47549,0.46761,0.18421,2.01769,1.92978,2.08351,0.0011288,0.0011288,0.0011288
46,4452.18,1.98266,1.89182,1.85608,0.55554,0.46106,0.47278,0.18954,2.0348,1.94881,2.14903,0.001109,0.001109,0.001109
47,4548.06,1.96062,1.89345,1.85452,0.55502,0.46314,0.46928,0.18317,2.0733,1.92656,2.13301,0.0010892,0.0010892,0.0010892
48,4642.3,1.95639,1.86738,1.84225,0.64146,0.44608,0.50909,0.198,2.06226,1.9029,2.11894,0.0010694,0.0010694,0.0010694
49,4741.59,1.96494,1.87576,1.81024,0.58232,0.46302,0.4723,0.19088,2.01663,1.87965,2.05254,0.0010496,0.0010496,0.0010496
50,4835.67,1.92543,1.84795,1.81609,0.63294,0.48162,0.52817,0.21631,2.01659,1.79333,2.0805,0.0010298,0.0010298,0.0010298
51,4936.43,1.95636,1.82249,1.83211,0.64375,0.5,0.5393,0.21976,2.03139,1.7927,2.11055,0.00101,0.00101,0.00101
52,5030.54,1.93991,1.83549,1.82695,0.58625,0.46569,0.48819,0.19798,2.04006,1.88596,2.12022,0.0009902,0.0009902,0.0009902
53,5124.96,1.94184,1.81156,1.81839,0.61704,0.50613,0.53444,0.21599,2.03381,1.81427,2.11009,0.0009704,0.0009704,0.0009704
54,5219.14,1.93097,1.8228,1.8084,0.61002,0.47794,0.51802,0.21327,2.01745,1.79384,2.08922,0.0009506,0.0009506,0.0009506
55,5313.88,1.91974,1.80356,1.80389,0.61243,0.50154,0.51582,0.21096,2.00136,1.83418,2.08123,0.0009308,0.0009308,0.0009308
56,5407.85,1.90937,1.80425,1.79668,0.66767,0.49265,0.52746,0.20965,2.03375,1.80079,2.10488,0.000911,0.000911,0.000911
57,5502.26,1.91102,1.74305,1.80029,0.66826,0.53799,0.56424,0.22276,2.02931,1.72816,2.10795,0.0008912,0.0008912,0.0008912
58,5602.29,1.90416,1.71607,1.78635,0.64838,0.51593,0.55733,0.22356,2.02207,1.70257,2.09719,0.0008714,0.0008714,0.0008714
59,5702.7,1.89365,1.73511,1.77973,0.64668,0.50613,0.54447,0.22103,2.00969,1.79569,2.08036,0.0008516,0.0008516,0.0008516
60,5796.75,1.89505,1.73538,1.77266,0.61732,0.46324,0.49525,0.19639,2.09194,1.84812,2.13995,0.0008318,0.0008318,0.0008318
61,5891.94,1.87196,1.70978,1.75335,0.6998,0.5,0.55917,0.22667,1.99739,1.7314,2.07929,0.000812,0.000812,0.000812
62,5987.03,1.88573,1.7299,1.79388,0.63726,0.52574,0.56233,0.22431,1.99595,1.73762,2.06236,0.0007922,0.0007922,0.0007922
63,6081.61,1.85858,1.64565,1.77501,0.68413,0.54147,0.57828,0.24048,2.01186,1.67113,2.08833,0.0007724,0.0007724,0.0007724
64,6180.64,1.8484,1.62553,1.75536,0.69784,0.53064,0.58432,0.23837,2.02534,1.68852,2.11737,0.0007526,0.0007526,0.0007526
65,6275.62,1.86201,1.66914,1.7537,0.67226,0.53431,0.5677,0.22981,2.02744,1.68701,2.09709,0.0007328,0.0007328,0.0007328
66,6370.38,1.81758,1.60389,1.73969,0.64339,0.52083,0.55921,0.23207,2.02637,1.65786,2.09646,0.000713,0.000713,0.000713
67,6465.12,1.81935,1.6308,1.74653,0.67742,0.54044,0.57873,0.23562,2.00648,1.67051,2.09226,0.0006932,0.0006932,0.0006932
68,6560.84,1.82907,1.63497,1.75139,0.69098,0.53064,0.56411,0.23422,2.00536,1.68455,2.09823,0.0006734,0.0006734,0.0006734
69,6654.63,1.81931,1.61661,1.73545,0.66296,0.5527,0.58144,0.23803,2.01693,1.63732,2.10279,0.0006536,0.0006536,0.0006536
70,6751.33,1.82151,1.60286,1.72663,0.64546,0.52696,0.55801,0.23342,2.00215,1.69412,2.08097,0.0006338,0.0006338,0.0006338
71,6845.55,1.80898,1.55894,1.72091,0.69057,0.53922,0.5748,0.23545,2.01439,1.65682,2.10437,0.000614,0.000614,0.000614
72,6940.72,1.80611,1.57386,1.72918,0.68176,0.54167,0.59742,0.24152,2.01745,1.60022,2.10118,0.0005942,0.0005942,0.0005942
73,7041.22,1.79317,1.52089,1.72699,0.72719,0.55207,0.61049,0.24404,2.05265,1.58144,2.13926,0.0005744,0.0005744,0.0005744
74,7142.91,1.77271,1.55472,1.71263,0.73245,0.53344,0.60002,0.25184,2.00476,1.592,2.10347,0.0005546,0.0005546,0.0005546
75,7241.91,1.77616,1.5263,1.70308,0.70243,0.56495,0.60715,0.25294,1.99701,1.59088,2.09884,0.0005348,0.0005348,0.0005348
76,7338.1,1.77602,1.5196,1.70336,0.70031,0.5756,0.60091,0.25235,2.00376,1.58307,2.09615,0.000515,0.000515,0.000515
77,7432.43,1.77608,1.52054,1.70213,0.7143,0.5723,0.61014,0.25541,2.0059,1.58327,2.10594,0.0004952,0.0004952,0.0004952
78,7527.93,1.76294,1.50706,1.68027,0.73624,0.56127,0.61113,0.24856,2.02465,1.55848,2.12361,0.0004754,0.0004754,0.0004754
79,7621.71,1.74648,1.46588,1.69443,0.70977,0.57353,0.60201,0.25259,2.03623,1.56339,2.14639,0.0004556,0.0004556,0.0004556
80,7717.42,1.73077,1.46186,1.6794,0.73663,0.58271,0.63446,0.26253,2.00878,1.5419,2.12487,0.0004358,0.0004358,0.0004358
81,7818.92,1.73548,1.42833,1.67364,0.73069,0.57854,0.62868,0.26358,1.99448,1.51318,2.109,0.000416,0.000416,0.000416
82,7915.04,1.72197,1.42974,1.68454,0.70483,0.59111,0.62045,0.25507,2.02545,1.53695,2.14204,0.0003962,0.0003962,0.0003962
83,8010.98,1.746,1.43764,1.67393,0.7364,0.56146,0.63353,0.26523,2.01483,1.52996,2.12504,0.0003764,0.0003764,0.0003764
84,8110.94,1.71256,1.38825,1.66186,0.68783,0.60662,0.62523,0.26115,2.04134,1.54023,2.14659,0.0003566,0.0003566,0.0003566
85,8207.89,1.71011,1.40351,1.67142,0.70534,0.5723,0.61739,0.25593,2.05165,1.56138,2.15607,0.0003368,0.0003368,0.0003368
86,8301.58,1.7006,1.39006,1.64356,0.71078,0.61397,0.64136,0.26528,2.00271,1.50365,2.13765,0.000317,0.000317,0.000317
87,8402.34,1.69295,1.37764,1.6563,0.7328,0.58145,0.63153,0.26642,2.00828,1.48436,2.1352,0.0002972,0.0002972,0.0002972
88,8498.45,1.67753,1.34634,1.63647,0.72197,0.6078,0.63803,0.26826,2.02331,1.49483,2.13757,0.0002774,0.0002774,0.0002774
89,8600.49,1.69276,1.34508,1.65209,0.71411,0.60784,0.62796,0.26555,2.02829,1.47226,2.14521,0.0002576,0.0002576,0.0002576
90,8695.49,1.66516,1.32116,1.62503,0.72025,0.6184,0.64441,0.2711,2.01236,1.45216,2.15076,0.0002378,0.0002378,0.0002378
91,8796.71,1.68091,1.3071,1.75931,0.76242,0.59314,0.64819,0.2728,1.98836,1.46368,2.11643,0.000218,0.000218,0.000218
92,8897.06,1.65205,1.25658,1.74152,0.73065,0.61397,0.64934,0.27461,2.00636,1.46091,2.132,0.0001982,0.0001982,0.0001982
93,8992.98,1.63762,1.24264,1.72272,0.75371,0.60539,0.65533,0.27682,2.00699,1.44999,2.14401,0.0001784,0.0001784,0.0001784
94,9087.95,1.62894,1.20652,1.70679,0.72956,0.6299,0.65871,0.27469,2.02219,1.44093,2.15921,0.0001586,0.0001586,0.0001586
95,9183.03,1.60974,1.20904,1.70932,0.76102,0.60172,0.65727,0.27179,2.02841,1.42561,2.17161,0.0001388,0.0001388,0.0001388
96,9278.79,1.61216,1.19469,1.72122,0.73687,0.6143,0.65702,0.27911,2.01146,1.42118,2.15095,0.000119,0.000119,0.000119
97,9380.14,1.62293,1.19536,1.72252,0.71448,0.64092,0.66405,0.28135,2.01248,1.41814,2.15256,9.92e-05,9.92e-05,9.92e-05
98,9474.31,1.61037,1.18215,1.71296,0.76429,0.60401,0.66418,0.27992,2.02109,1.42798,2.16119,7.94e-05,7.94e-05,7.94e-05
99,9568.7,1.58303,1.16579,1.6976,0.74824,0.62132,0.66424,0.28089,2.01893,1.4135,2.16397,5.96e-05,5.96e-05,5.96e-05
100,9664.57,1.60126,1.16497,1.70327,0.74418,0.62868,0.66792,0.28248,2.00733,1.41277,2.14951,3.98e-05,3.98e-05,3.98e-05
